RK,Player,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3
-,Craig Porter Jr.CLE,G,51,10.1,3.7,1.4,2.7,51.4,0.4,0.9,43.8,0.5,0.6,71.9,1.3,1.4,0.3,0.3,0.7,0,0
-,Baylor ScheiermanBOS,F,31,12.4,3.6,1.3,3.5,35.5,0.8,2.6,31.7,0.3,0.4,75.0,2.1,1.1,0.5,0.1,0.4,0,0
-,Jaylon TysonCLE,F,47,9.6,3.6,1.4,3.2,43.0,0.4,1.2,34.5,0.4,0.5,79.2,2.0,0.9,0.3,0.1,0.6,1,0
-,JT ThorCLE/WSH,F,20,12.5,3.6,1.3,3.0,42.4,0.3,1.1,28.6,0.8,1.1,68.2,2.4,0.3,0.4,0.5,0.5,0,0
-,Cory JosephORL,PG,50,12.2,3.5,1.2,3.1,40.3,0.8,2.1,36.4,0.3,0.4,77.8,1.5,1.4,0.5,0.1,0.4,0,0
-,Andre Jackson Jr.MIL,G,67,14.6,3.4,1.4,2.9,47.7,0.4,1.1,39.5,0.2,0.4,50.0,2.7,1.2,0.5,0.2,0.9,0,0
-,Bruno FernandoTOR,F,17,8.6,3.4,1.5,2.9,53.1,0.0,0.0,0.0,0.4,0.5,75.0,3.0,1.1,0.2,0.5,0.8,0,0
-,Jamaree BouyeaMIL,G,5,12.4,3.4,1.2,2.4,50.0,0.2,1.0,20.0,0.8,1.2,66.7,1.0,2.0,0.8,0.4,1.6,0,0
-,Javonte GreenNO/CLE,G,18,9.2,3.3,1.3,3.5,36.5,0.4,1.8,24.2,0.3,0.6,50.0,2.2,0.6,0.6,0.1,0.2,0,0
-,Moses BrownIND/DAL,C,9,5.1,3.2,1.4,2.2,65.0,0.0,0.0,0.0,0.3,0.6,60.0,1.4,0.0,0.2,0.1,0.7,0,0
-,Gary HarrisORL,SG,48,14.8,3.0,1.1,2.8,38.3,0.8,2.1,35.6,0.1,0.3,58.3,1.3,0.6,0.5,0.3,0.4,0,0
-,Pete NanceMIL/PHI,F,13,10.6,2.9,1.1,2.5,43.8,0.7,1.8,37.5,0.1,0.2,50.0,1.6,0.8,0.2,0.2,0.3,0,0
-,Tyler SmithMIL,F,23,5.3,2.9,1.0,2.2,48.0,0.6,1.3,43.3,0.3,0.3,75.0,1.1,0.2,0.1,0.2,0.3,0,0
-,Taj GibsonCHA,F,37,11.1,2.9,1.3,2.6,49.5,0.0,0.1,50.0,0.3,0.5,60.0,3.2,0.6,0.2,0.5,0.7,1,0
-,RayJ DennisIND,G,11,6.4,2.7,1.0,3.0,33.3,0.5,1.9,28.6,0.2,0.2,100.0,1.1,1.3,0.6,0.2,0.5,0,0
-,Keshad JohnsonMIA,F,16,6.1,2.7,1.1,1.6,69.2,0.2,0.4,42.9,0.3,0.6,44.4,1.8,0.3,0.3,0.3,0.3,0,0
-,Anthony GillWSH,PF,51,7.8,2.5,0.8,1.7,48.9,0.2,0.6,32.3,0.6,1.0,66.0,1.3,0.3,0.2,0.0,0.2,0,0
-,Johnny DavisWSH,G,34,7.1,2.4,0.9,2.3,41.0,0.2,0.9,24.1,0.3,0.4,60.0,1.1,0.3,0.4,0.2,0.2,0,0
-,Miles NorrisBOS,F,3,11.7,2.3,0.7,3.0,22.2,0.7,2.3,28.6,0.3,0.7,50.0,3.0,0.0,0.7,0.3,0.0,0,0
-,Lester QuinonesNO/PHI,G,4,4.3,2.3,1.0,2.0,50.0,0.0,0.8,0.0,0.3,0.3,100.0,1.0,0.3,0.0,0.0,1.0,0,0
-,Drew PetersonBOS,F,25,7.4,2.2,0.7,1.6,41.5,0.5,1.3,39.4,0.3,0.4,77.8,1.6,0.5,0.2,0.1,0.3,0,0
-,Patrick Baldwin Jr.LAC/WSH,G,22,4.6,2.1,0.8,1.5,51.5,0.5,1.0,52.4,0.1,0.2,50.0,1.0,0.1,0.1,0.1,0.2,0,0
-,Chris DuarteCHI,SG,17,4.4,2.1,0.7,1.5,46.2,0.4,0.9,40.0,0.4,0.5,75.0,1.2,0.5,0.0,0.0,0.1,0,0
-,Enrique FreemanIND,F,22,8.2,2.1,0.7,1.7,43.2,0.0,0.5,10.0,0.6,0.9,68.4,1.4,0.4,0.1,0.1,0.3,0,0
-,JD DavisonBOS,G,16,5.8,2.1,0.8,2.1,35.3,0.3,1.1,22.2,0.3,0.4,71.4,0.8,0.8,0.3,0.1,0.8,0,0
-,Johnny FurphyIND,F,50,7.6,2.1,0.7,1.8,38.0,0.3,1.0,30.0,0.4,0.4,81.8,1.4,0.4,0.4,0.2,0.2,0,0
-,Josh ChristopherMIA,SG,14,4.9,2.0,0.8,2.2,35.5,0.1,0.8,18.2,0.3,0.4,66.7,0.6,0.6,0.4,0.2,0.4,0,0
-,Adama SanogoCHI,C,4,5.3,2.0,1.0,1.8,57.1,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.3,0.0,0.0,0.3,0,0
-,Garrett TempleTOR,SF,28,8.1,1.9,0.6,2.1,30.0,0.2,1.0,21.4,0.4,0.4,91.7,1.0,1.1,0.6,0.1,0.4,0,0
-,Bobi KlintmanDET,F,8,5.3,1.9,0.8,1.3,60.0,0.3,0.6,40.0,0.1,0.3,50.0,0.9,0.9,0.3,0.1,0.1,0,0
